1,Afghanistan,648,5
2,Albania,29,3
3,Algeria,2388,4
4,American-Samoa,0,6
5,Andorra,3,3
6,Angola,1247,4
7,Anguilla,0,1
8,Antigua-Barbuda,0,1
9,Argentina,2777,2
10,Australia,7690,6
11,Austria,84,3
12,Bahamas,19,1
13,Bahrain,1,5
14,Bangladesh,143,5
15,Barbados,0,1
16,Belgium,31,3
17,Belize,23,1
18,Benin,113,4
19,Bermuda,0,1
20,Bhutan,47,5
21,Bolivia,1099,2
22,Bosnia-Herzegovina,51,3
23,Botswana,600,4
24,Brazil,8512,2
25,British-Virgin-Isles,0,1
26,Brunei,6,5
27,Bulgaria,111,3
28,Burkina,274,4
29,Burma,678,5
30,Burundi,28,4
31,Cambodia,181,5
32,Cameroon,474,4
33,Canada,9976,1
34,Cape-Verde-Islands,4,4
35,Cayman-Islands,0,1
36,Central-African-Republic,623,4
37,Chad,1284,4
38,Chile,757,2
39,China,9561,5
40,Colombia,1139,2
41,Comorro-Islands,2,4
42,Congo,342,4
43,Cook-Islands,0,6
44,Costa-Rica,51,1
45,Croatia ,56,3
46,Cuba,115,1
47,Cyprus,9,3
48,Czechoslovakia,128,3
49,Denmark,43,3
50,Djibouti,22,4
51,Dominica,0,1
52,Dominican-Republic,49,1
53,Ecuador,284,2
54,Egypt,1001,4
55,El-Salvador,21,1
56,Equatorial-Guinea,28,4
57,Eswatini,17,4
58,Ethiopia,1222,4
59,Faeroes,1,3
60,Falklands-Malvinas,12,2
61,Fiji,18,6
62,Finland,337,3
63,France,547,3
64,French-Guiana,91,2
65,French-Polynesia,4,6
66,Gabon,268,4
67,Gambia,10,4
68,Germany-DDR,108,3
69,Germany-FRG,249,3
70,Ghana,239,4
71,Gibraltar,0,3
72,Greece,132,3
73,Greenland,2176,1
74,Grenada,0,1
75,Guam,0,6
76,Guatemala,109,1
77,Guinea,246,4
78,Guinea-Bissau,36,4
79,Guyana,215,2
80,Haiti,28,1
81,Honduras,112,1
82,Hong-Kong,1,5
83,Hungary,93,3
84,Iceland,103,3
85,India,3268,5
86,Indonesia,1904,6
87,Iran,1648,5
88,Iraq,435,5
89,Ireland,70,3
90,Israel,21,5
91,Italy,301,3
92,Ivory-Coast,323,4
93,Jamaica,11,1
94,Japan,372,5
95,Jordan,98,5
96,Kenya,583,4
97,Kiribati,0,6
98,Kuwait,18,5
99,Laos,236,5
100,Lebanon,10,5
101,Lesotho,30,4
102,Liberia,111,4
103,Libya,1760,4
104,Liechtenstein,0,3
105,Luxembourg,3,3
106,Madagascar,587,4
107,Malawi,118,4
108,Malaysia,333,5
109,Maldive-Islands,0,5
110,Mali,1240,4
111,Malta,0,3
112,Mauritania,1031,4
113,Mauritius,2,4
114,Mexico,1973,1
115,Micronesia,1,6
116,Monaco,0,3
117,Mongolia,1566,5
118,Montenegro ,13,3
119,Montserrat,0,1
120,Morocco,447,4
121,Mozambique,783,4
122,Myanmar,261,5
123,Nauru,0,6
124,Nepal,140,5
125,Netherlands,41,3
126,New-Zealand,268,6
127,Nicaragua,128,1
128,Niger,1267,4
129,Nigeria,925,4
130,North Macedonia,25,3
131,North-Korea,121,5
132,Norway,324,3
133,Oman,212,5
134,Pakistan,804,5
135,Palestine ,6,5
136,Panama,76,2
137,Papua-New-Guinea,463,6
138,Parguay,407,2
139,Peru,1285,2
140,Philippines,300,6
141,Poland,313,3
142,Portugal,92,3
143,Puerto-Rico,9,1
144,Qatar,11,5
145,Romania,237,3
146,Russia ,17098,5
147,Rwanda,26,4
148,San-Marino,0,3
149,Sao-Tome,0,4
150,Saudi-Arabia,2150,5
151,Senegal,196,4
152,Serbia ,88,3
153,Seychelles,0,4
154,Sierra-Leone,72,4
155,Singapore,1,5
156,Slovenia ,20,3
157,Soloman-Islands,30,6
158,Somalia,637,4
159,South-Africa,1221,4
160,South-Korea,99,5
161,Spain,505,3
162,Sri-Lanka,66,5
163,St-Helena,0,4
164,St-Kitts-Nevis,0,1
165,St-Lucia,0,1
166,St-Vincent,0,1
167,Sudan,2506,4
168,Surinam,63,2
169,Sweden,450,3
170,Switzerland,41,3
171,Syria,185,5
172,Taiwan,36,5
173,Tajikistan,143,5
174,Tanzania,945,4
175,Thailand,514,5
176,Timor-Leste,5,5
177,Togo,57,4
178,Tonga,1,6
179,Trinidad-Tobago,5,2
180,Tunisia,164,4
181,Turkey,781,5
182,Turkmenistan ,189,5
183,Turks-Cocos-Islands,0,1
184,Tuvalu,0,6
185,UAE,84,5
186,Uganda,236,4
187,UK,245,3
188,Ukraine ,603,3
189,Uruguay,178,2
190,USA,9363,1
191,US-Virgin-Isles,0,1
192,Vanuatu,15,6
193,Venezuela,912,2
194,Vietnam,333,5
195,Western-Samoa,3,6
196,Yemen,455,5
197,Zambia,753,4
198,Zimbabwe,391,4
