name,landmass,zone,area,population,language,religion,bars,stripes,colours,red ,green,blue,gold,white,black,orange ,mainhue
Afghanistan,5,1,648,16,10,2,0,3,5,1,1,0,1,1,1,0,green
Albania,3,1,29,3,6,6,0,0,3,1,0,0,1,0,1,0,red
Algeria,4,1,2388,20,8,2,2,0,3,1,1,0,0,1,0,0,green
American-Samoa,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Andorra,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,gold
Angola,4,2,1247,7,10,5,0,2,3,1,0,0,1,0,1,0,red
Anguilla,1,4,0,0,1,1,0,1,3,0,0,1,0,1,0,1,white
Antigua-Barbuda,1,4,0,0,1,1,0,1,5,1,0,1,1,1,1,0,red
Argentina,2,3,2777,28,2,0,0,3,2,0,0,1,0,1,0,0,blue
Australia,6,2,7690,15,1,1,0,0,3,1,0,1,0,1,0,0,blue
Austria,3,1,84,8,4,0,0,3,2,1,0,0,0,1,0,0,red
Bahamas,1,4,19,0,1,1,0,3,3,0,0,1,1,0,1,0,blue
Bahrain,5,1,1,0,8,2,0,0,2,1,0,0,0,1,0,0,red
Bangladesh,5,1,143,90,6,2,0,0,2,1,1,0,0,0,0,0,green
Barbados,1,4,0,0,1,1,3,0,3,0,0,1,1,0,1,0,blue
Belgium,3,1,31,10,6,0,3,0,3,1,0,0,1,0,1,0,gold
Belize,1,4,23,0,1,1,0,2,8,1,1,1,1,1,1,1,blue
Benin,4,1,113,3,3,5,0,0,2,1,1,0,0,0,0,0,green
Bermuda,1,4,0,0,1,1,0,0,6,1,1,1,1,1,1,0,red
Bhutan,5,1,47,1,10,3,0,0,4,1,0,0,0,1,1,1,orange
Bolivia,2,3,1099,6,2,0,0,3,3,1,1,0,1,0,0,0,red
Botswana,4,2,600,1,10,5,0,5,3,0,0,1,0,1,1,0,blue
Brazil,2,3,8512,119,6,0,0,0,4,0,1,1,1,1,0,0,green
British-Virgin-Isles,1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,1,blue
Brunei,5,1,6,0,10,2,0,0,4,1,0,0,1,1,1,0,gold
Bulgaria,3,1,111,9,5,6,0,3,5,1,1,1,1,1,0,0,red
Burkina,4,4,274,7,3,5,0,2,3,1,1,0,1,0,0,0,red
Burma,5,1,678,35,10,3,0,0,3,1,0,1,0,1,0,0,red
Burundi,4,2,28,4,10,5,0,0,3,1,1,0,0,1,0,0,red
Cameroon,4,1,474,8,3,1,3,0,3,1,1,0,1,0,0,0,gold
Canada,1,4,9976,24,1,1,2,0,2,1,0,0,0,1,0,0,red
Cape-Verde-Islands,4,4,4,0,6,0,1,2,5,1,1,0,1,0,1,1,gold
Cayman-Islands,1,4,0,0,1,1,0,0,6,1,1,1,1,1,0,1,blue
Central-African-Republic,4,1,623,2,10,5,1,0,5,1,1,1,1,1,0,0,gold
Chad,4,1,1284,4,3,5,3,0,3,1,0,1,1,0,0,0,gold
Chile,2,3,757,11,2,0,0,2,3,1,0,1,0,1,0,0,red
China,5,1,9561,1008,7,6,0,0,2,1,0,0,1,0,0,0,red
Colombia,2,4,1139,28,2,0,0,3,3,1,0,1,1,0,0,0,gold
Comorro-Islands,4,2,2,0,3,2,0,0,2,0,1,0,0,1,0,0,green
Congo,4,2,342,2,10,5,0,0,3,1,1,0,1,0,0,0,red
Cook-Islands,6,3,0,0,1,1,0,0,4,1,0,1,0,1,0,0,blue
Costa-Rica,1,4,51,2,2,0,0,5,3,1,0,1,0,1,0,0,blue
Cuba,1,4,115,10,2,6,0,5,3,1,0,1,0,1,0,0,blue
Cyprus,3,1,9,1,6,1,0,0,3,0,1,0,1,1,0,0,white
Czechoslovakia,3,1,128,15,5,6,0,0,3,1,0,1,0,1,0,0,white
Denmark,3,1,43,5,6,1,0,0,2,1,0,0,0,1,0,0,red
Djibouti,4,1,22,0,3,2,0,0,4,1,1,1,0,1,0,0,blue
Dominica,1,4,0,0,1,1,0,0,6,1,1,1,1,1,1,0,green
Dominican-Republic,1,4,49,6,2,0,0,0,3,1,0,1,0,1,0,0,blue
Ecuador,2,3,284,8,2,0,0,3,3,1,0,1,1,0,0,0,gold
Egypt,4,1,1001,47,8,2,0,3,4,1,0,0,1,1,1,0,black
El-Salvador,1,4,21,5,2,0,0,3,2,0,0,1,0,1,0,0,blue
Equatorial-Guinea,4,1,28,0,10,5,0,3,4,1,1,1,0,1,0,0,green
Ethiopia,4,1,1222,31,10,1,0,3,3,1,1,0,1,0,0,0,green
Faeroes,3,4,1,0,6,1,0,0,3,1,0,1,0,1,0,0,white
Falklands-Malvinas,2,3,12,0,1,1,0,0,6,1,1,1,1,1,0,0,blue
Fiji,6,2,18,1,1,1,0,0,7,1,1,1,1,1,0,1,blue
Finland,3,1,337,5,9,1,0,0,2,0,0,1,0,1,0,0,white
France,3,1,547,54,3,0,3,0,3,1,0,1,0,1,0,0,white
French-Guiana,2,4,91,0,3,0,3,0,3,1,0,1,0,1,0,0,white
French-Polynesia,6,3,4,0,3,0,0,3,5,1,0,1,1,1,1,0,red
Gabon,4,2,268,1,10,5,0,3,3,0,1,1,1,0,0,0,green
Gambia,4,4,10,1,1,5,0,5,4,1,1,1,0,1,0,0,red
Germany-DDR,3,1,108,17,4,6,0,3,3,1,0,0,1,0,1,0,gold
Germany-FRG,3,1,249,61,4,1,0,3,3,1,0,0,1,0,1,0,black
Ghana,4,4,239,14,1,5,0,3,4,1,1,0,1,0,1,0,red
Gibraltar,3,4,0,0,1,1,0,1,3,1,0,0,1,1,0,0,white
Greece,3,1,132,10,6,1,0,9,2,0,0,1,0,1,0,0,blue
Greenland,1,4,2176,0,6,1,0,0,2,1,0,0,0,1,0,0,white
Grenada,1,4,0,0,1,1,0,0,3,1,1,0,1,0,0,0,gold
Guam,6,1,0,0,1,1,0,0,7,1,1,1,1,1,0,1,blue
Guatemala,1,4,109,8,2,0,3,0,2,0,0,1,0,1,0,0,blue
Guinea,4,4,246,6,3,2,3,0,3,1,1,0,1,0,0,0,gold
Guinea-Bissau,4,4,36,1,6,5,1,2,4,1,1,0,1,0,1,0,gold
Guyana,2,4,215,1,1,4,0,0,5,1,1,0,1,1,1,0,green
Haiti,1,4,28,6,3,0,2,0,2,1,0,0,0,0,1,0,black
Honduras,1,4,112,4,2,0,0,3,2,0,0,1,0,1,0,0,blue
Hong-Kong,5,1,1,5,7,3,0,0,6,1,1,1,1,1,0,1,blue
Hungary,3,1,93,11,9,6,0,3,3,1,1,0,0,1,0,0,red
Iceland,3,4,103,0,6,1,0,0,3,1,0,1,0,1,0,0,blue
India,5,1,3268,684,6,4,0,3,4,0,1,1,0,1,0,1,orange
Indonesia,6,2,1904,157,10,2,0,2,2,1,0,0,0,1,0,0,red
Iran,5,1,1648,39,6,2,0,3,3,1,1,0,0,1,0,0,red
Iraq,5,1,435,14,8,2,0,3,4,1,1,0,0,1,1,0,red
Ireland,3,4,70,3,1,0,3,0,3,0,1,0,0,1,0,1,white
Israel,5,1,21,4,10,7,0,2,2,0,0,1,0,1,0,0,white
Italy,3,1,301,57,6,0,3,0,3,1,1,0,0,1,0,0,white
Ivory-Coast,4,4,323,7,3,5,3,0,3,1,1,0,0,1,0,0,white
Jamaica,1,4,11,2,1,1,0,0,3,0,1,0,1,0,1,0,green
Japan,5,1,372,118,9,7,0,0,2,1,0,0,0,1,0,0,white
Jordan,5,1,98,2,8,2,0,3,4,1,1,0,0,1,1,0,black
Kampuchea,5,1,181,6,10,3,0,0,2,1,0,0,1,0,0,0,red
Kenya,4,1,583,17,10,5,0,5,4,1,1,0,0,1,1,0,red
Kiribati,6,1,0,0,1,1,0,0,4,1,0,1,1,1,0,0,red
Kuwait,5,1,18,2,8,2,0,3,4,1,1,0,0,1,1,0,green
Laos,5,1,236,3,10,6,0,3,3,1,0,1,0,1,0,0,red
Lebanon,5,1,10,3,8,2,0,2,4,1,1,0,0,1,0,1,red
Lesotho,4,2,30,1,10,5,2,0,4,1,1,1,0,1,0,0,blue
Liberia,4,4,111,1,10,5,0,11,3,1,0,1,0,1,0,0,red
Libya,4,1,1760,3,8,2,0,0,1,0,1,0,0,0,0,0,green
Liechtenstein,3,1,0,0,4,0,0,2,3,1,0,1,1,0,0,0,red
Luxembourg,3,1,3,0,4,0,0,3,3,1,0,1,0,1,0,0,red
Malagasy,4,2,587,9,10,1,1,2,3,1,1,0,0,1,0,0,red
Malawi,4,2,118,6,10,5,0,3,3,1,1,0,0,0,1,0,red
Malaysia,5,1,333,13,10,2,0,14,4,1,0,1,1,1,0,0,red
Maldive-Islands,5,1,0,0,10,2,0,0,3,1,1,0,0,1,0,0,red
Mali,4,4,1240,7,3,2,3,0,3,1,1,0,1,0,0,0,gold
Malta,3,1,0,0,10,0,2,0,3,1,0,0,0,1,1,0,red
Marianas,6,1,0,0,10,1,0,0,3,0,0,1,0,1,0,0,blue
Mauritania,4,4,1031,2,8,2,0,0,2,0,1,0,1,0,0,0,green
Mauritius,4,2,2,1,1,4,0,4,4,1,1,1,1,0,0,0,red
Mexico,1,4,1973,77,2,0,3,0,4,1,1,0,0,1,0,1,green
Micronesia,6,1,1,0,10,1,0,0,2,0,0,1,0,1,0,0,blue
Monaco,3,1,0,0,3,0,0,2,2,1,0,0,0,1,0,0,red
Mongolia,5,1,1566,2,10,6,3,0,3,1,0,1,1,0,0,0,red
Montserrat,1,4,0,0,1,1,0,0,7,1,1,1,1,1,1,0,blue
Morocco,4,4,447,20,8,2,0,0,2,1,1,0,0,0,0,0,red
Mozambique,4,2,783,12,10,5,0,5,5,1,1,0,1,1,1,0,gold
Nauru,6,2,0,0,10,1,0,3,3,0,0,1,1,1,0,0,blue
Nepal,5,1,140,16,10,4,0,0,3,0,0,1,0,1,0,1,brown
Netherlands,3,1,41,14,6,1,0,3,3,1,0,1,0,1,0,0,red
Netherlands-Antilles,1,4,0,0,6,1,0,1,3,1,0,1,0,1,0,0,white
New-Zealand,6,2,268,2,1,1,0,0,3,1,0,1,0,1,0,0,blue
Nicaragua,1,4,128,3,2,0,0,3,2,0,0,1,0,1,0,0,blue
Niger,4,1,1267,5,3,2,0,3,3,0,1,0,0,1,0,1,orange
Nigeria,4,1,925,56,10,2,3,0,2,0,1,0,0,1,0,0,green
Niue,6,3,0,0,1,1,0,0,4,1,0,1,1,1,0,0,gold
North-Korea,5,1,121,18,10,6,0,5,3,1,0,1,0,1,0,0,blue
North-Yemen,5,1,195,9,8,2,0,3,4,1,1,0,0,1,1,0,red
Norway,3,1,324,4,6,1,0,0,3,1,0,1,0,1,0,0,red
Oman,5,1,212,1,8,2,0,2,3,1,1,0,0,1,0,0,red
Pakistan,5,1,804,84,6,2,1,0,2,0,1,0,0,1,0,0,green
Panama,2,4,76,2,2,0,0,0,3,1,0,1,0,1,0,0,red
Papua-New-Guinea,6,2,463,3,1,5,0,0,4,1,0,0,1,1,1,0,black
Parguay,2,3,407,3,2,0,0,3,6,1,1,1,1,1,1,0,red
Peru,2,3,1285,14,2,0,3,0,2,1,0,0,0,1,0,0,red
Philippines,6,1,300,48,10,0,0,0,4,1,0,1,1,1,0,0,blue
Poland,3,1,313,36,5,6,0,2,2,1,0,0,0,1,0,0,white
Portugal,3,4,92,10,6,0,0,0,5,1,1,1,1,1,0,0,red
Puerto-Rico,1,4,9,3,2,0,0,5,3,1,0,1,0,1,0,0,red
Qatar,5,1,11,0,8,2,0,0,2,0,0,0,0,1,0,1,brown
Romania,3,1,237,22,6,6,3,0,7,1,1,1,1,1,0,1,red
Rwanda,4,2,26,5,10,5,3,0,4,1,1,0,1,0,1,0,red
San-Marino,3,1,0,0,6,0,0,2,2,0,0,1,0,1,0,0,white
Sao-Tome,4,1,0,0,6,0,0,3,4,1,1,0,1,0,1,0,green
Saudi-Arabia,5,1,2150,9,8,2,0,0,2,0,1,0,0,1,0,0,green
