name,landmass,image,area,colours,red ,green,blue,gold,white,black,orange ,mainhue
Afghanistan,5,https://upload.wikimedia.org/wikipedia/commons/c/cd/Flag_of_Afghanistan_%282013%E2%80%932021%29.svg,648,5,1,1,0,1,1,1,0,green
Albania,3,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg,29,3,1,0,0,1,0,1,0,red
Algeria,4,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,2388,3,1,1,0,0,1,0,0,green
American-Samoa,6,https://upload.wikimedia.org/wikipedia/commons/8/87/Flag_of_American_Samoa.svg,0,5,1,0,1,1,1,0,1,blue
Angola,4,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg,1247,3,1,0,0,1,0,1,0,red
Anguilla,1,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Anguilla.svg,0,3,0,0,1,0,1,0,1,white
Antigua-Barbuda,1,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg,0,5,1,0,1,1,1,1,0,red
Argentina,2,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg,2777,2,0,0,1,0,1,0,0,blue
Australia,6,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg,7690,3,1,0,1,0,1,0,0,blue
Austria,3,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,84,2,1,0,0,0,1,0,0,red
Bahamas,1,https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg,19,3,0,0,1,1,0,1,0,blue
Bahrain,5,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg,1,2,1,0,0,0,1,0,0,red
Bangladesh,5,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg,143,2,1,1,0,0,0,0,0,green
Barbados,1,https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg,0,3,0,0,1,1,0,1,0,blue
Belgium,3,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Belgium.svg,31,3,1,0,0,1,0,1,0,gold
Belize,1,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg,23,8,1,1,1,1,1,1,1,blue
Benin,4,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg,113,2,1,1,0,0,0,0,0,green
Bermuda,1,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bermuda.svg,0,6,1,1,1,1,1,1,0,red
Bhutan,5,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,47,4,1,0,0,0,1,1,1,orange
Bolivia,2,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_Bolivia_%28state%29.svg,1099,3,1,1,0,1,0,0,0,red
Bosnia-Herzegovina,3,https://www.worldometers.info//img/flags/small/tn_bk-flag.gif,51,3,0,0,1,1,1,0,0,blue
Botswana,4,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg,600,3,0,0,1,0,1,1,0,blue
Brazil,2,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg,8512,4,0,1,1,1,1,0,0,green
British-Virgin-Isles,1,https://upload.wikimedia.org/wikipedia/commons/4/42/Flag_of_the_British_Virgin_Islands.svg,0,6,1,1,1,1,1,0,1,blue
Brunei,5,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Brunei.svg,6,4,1,0,0,1,1,1,0,gold
Bulgaria,3,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg,111,5,1,1,1,1,1,0,0,red
Burkina,4,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,274,3,1,1,0,1,0,0,0,red
Burma,5,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg,678,3,1,0,1,0,1,0,0,red
