flags_all_modified
name,landmass,zone,area,population,language,religion,bars,stripes,colours,red ,green,blue,gold,white,black,orange ,mainhue
Afghanistan,5,1,648,16,10,2,0,3,5,1,1,0,1,1,1,0,green
Albania,3,1,29,3,6,6,0,0,3,1,0,0,1,0,1,0,red
Algeria,4,1,2388,20,8,2,2,0,3,1,1,0,0,1,0,0,green
American-Samoa,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Andorra,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Angola,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Anguilla,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Antigua-Barbuda,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Argentina,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Australia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Austria,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Bahamas,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Bahrain,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Bangladesh,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Barbados,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Belgium,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Belize,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Benin,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Bermuda,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Bhutan,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Bolivia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Botswana,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Brazil,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
British-Virgin-Isles,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Brunei,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Bulgaria,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Burkina,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Burma,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Burundi,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Cameroon,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Canada,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Cape-Verde-Islands,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Cayman-Islands,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Central-African-Republic,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Chad,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Chile,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
China,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Colombia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Comorro-Islands,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Congo,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Cook-Islands,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Costa-Rica,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Cuba,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Cyprus,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Czechoslovakia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Denmark,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Djibouti,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Dominica,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Dominican-Republic,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Ecuador,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Egypt,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
El-Salvador,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Equatorial-Guinea,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Ethiopia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Faeroes,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Falklands-Malvinas,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Fiji,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Finland,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
France,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
French-Guiana,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
French-Polynesia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Gabon,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Gambia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Germany-DDR,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Germany-FRG,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Ghana,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Gibraltar,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Greece,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Greenland,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Grenada,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Guam,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Guatemala,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Guinea,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Guinea-Bissau,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Guyana,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Haiti,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Honduras,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Hong-Kong,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Hungary,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Iceland,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
India,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Indonesia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Iran,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Iraq,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Ireland,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Israel,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Italy,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Ivory-Coast,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Jamaica,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Japan,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Jordan,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Kampuchea,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Kenya,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Kiribati,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Kuwait,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Laos,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Lebanon,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Lesotho,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Liberia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Libya,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Liechtenstein,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Luxembourg,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Malagasy,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Malawi,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Malaysia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Maldive-Islands,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Mali,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Malta,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Marianas,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Mauritania,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Mauritius,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Mexico,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Micronesia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Monaco,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Mongolia,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Montserrat,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Morocco,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Mozambique,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Nauru,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Nepal,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Netherlands,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Netherlands-Antilles,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
New-Zealand,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Nicaragua,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Niger,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Nigeria,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Niue,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
North-Korea,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
North-Yemen,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Norway,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Oman,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Pakistan,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Panama,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Papua-New-Guinea,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Parguay,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Peru,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Philippines,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Poland,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Portugal,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Puerto-Rico,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Qatar,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Romania,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
Rwanda,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
San-Marino,6,3,0,0,1,1,0,0,5,1,0,1,1,1,0,1,blue
